fileID,f1,f2,vot,notes
ne01_kaka,900.29,1631.17,40.29,
ne01_kaka1,952.11,1771.56,39.28,
ne01_kaka2,1077.22,1754.40,30.92,
ne01_keke,470.88,2484.08,40.66,
ne01_keke1,604.19,2468.72,30.54,
ne01_keke2,492.37,2640.82,29.16,
ne01_kiki,349.55,2845.17,39.36,
ne01_kiki1,956.26,2258.99,46.23,
ne01_kiki2,438.62,2784.42,43.94,
ne01_koko,663.15,1076.87,52.39,
ne01_koko1,578.33,1063.01,31.06,
ne01_koko2,643.52,1102.50,42.94,
ne01_kuku,487.96,1104.81,61.44,
ne01_kuku1,443.07,1010.19,59.02,
ne01_kuku2,1093.52,2143.47,54.95,
ne01_paka,753.89,1501.51,20.55,
ne01_paka1,800.00,1531.90,13.25,
ne01_paka2,859.09,1667.44,14.07,
ne01_peke,416.57,2659.01,9.13,
ne01_peke1,392.92,2681.34,20.93,
ne01_peke2,548.31,2514.21,10.65,
ne01_piki,400.52,2849.35,15.97,
ne01_piki1,419.47,2878.72,7.15,
ne01_piki2,372.17,2931.01,9.54,
ne01_poko,518.33,1082.21,27.13,
ne01_poko1,579.54,1155.98,26.40,
ne01_poko2,507.99,1055.14,13.65,
ne01_puku,422.91,1061.59,27.57,
ne01_puku1,449.76,1060.58,51.93,
ne01_puku2,436.02,1014.68,63.24,
ne01_taka,886.77,1699.69,14.30,
ne01_taka1,1208.75,1783.07,15.54,
ne01_taka2,926.78,1732.30,11.16,
ne01_teke,519.10,2455.32,17.50,
ne01_teke1,549.39,2474.26,12.35,
ne01_teke2,775.73,2501.13,12.37,
ne01_tiki,371.41,2897.99,20.29,
ne01_tiki1,382.61,2834.38,26.62,
ne01_tiki2,362.48,3005.75,30.13,
ne01_toko,581.80,982.99,32.10,
ne01_toko1,440.01,1081.38,27.16,
ne01_toko2,557.70,1063.86,15.65,
ne01_tuku,422.89,1064.40,45.07,
ne01_tuku1,414.29,1071.67,29.96,
ne01_tuku2,1058.57,1602.73,39.18,
