fileID,f1,f2,vot,notes
ne02_kaka,568.06,1412.35,42.81,
ne02_kaka1,890.79,2217.97,48.75,
ne02_kaka2,67.14,1505.80,36.53,
ne02_keke,468.85,2409.40,43.38,
ne02_keke1,428.12,2479.16,46.14,
ne02_keke2,495.53,2239.88,37.29,
ne02_kiki,357.03,2693.29,63.25,
ne02_kiki1,344.31,2776.82,53.77,
ne02_kiki2,324.49,2770.05,57.25,
ne02_koko,553.17,1041.17,48.18,
ne02_koko1,447.40,1019.18,38.38,
ne02_koko2,530.38,1076.73,44.53,
ne02_kuku,925.81,1189.12,69.27,
ne02_kuku1,302.22,1173.95,57.89,
ne02_kuku2,480.42,1141.29,59.02,
ne02_paka,761.48,1680.16,22.74,
ne02_paka1,865.61,1519.91,18.83,
ne02_paka2,1065.14,1786.04,10.27,
ne02_peke,544.95,2392.98,47.43,
ne02_peke1,523.53,2458.55,12.61,
ne02_peke2,528.65,2471.47,46.33,
ne02_piki,342.86,2625.64,11.41,
ne02_piki1,382.66,2666.78,12.95,
ne02_piki2,449.52,2638.72,10.94,
ne02_poko,581.76,1044.49,14.65,
ne02_poko1,1018.44,2158.54,19.69,
ne02_poko2,631.64,1599.24,18.63,
ne02_puku,435.55,1052.19,25.64,
ne02_puku1,494.44,1207.70,33.95,
ne02_puku2,449.69,1262.02,22.62,
ne02_taka,841.51,1765.33,23.91,
ne02_taka1,828.25,1590.68,19.31,
ne02_taka2,795.81,1681.76,21.56,
ne02_teke,518.11,2391.77,23.72,
ne02_teke1,484.14,2480.00,31.70,
ne02_teke2,605.14,1924.27,29.17,
ne02_tiki,306.87,2847.28,33.53,
ne02_tiki1,317.21,2738.55,29.52,
ne02_tiki2,303.91,2728.09,32.59,
ne02_toko,495.17,995.61,33.48,
ne02_toko1,598.08,1159.03,40.46,
ne02_toko2,544.03,1018.58,34.28,
ne02_tuku,470.20,1304.77,26.64,
ne02_tuku1,445.11,1124.17,40.46,
ne02_tuku2,733.58,1490.29,35.97,
