fileID,f1,f2,vot,notes
bi02_kaka,780.30,1573.00,23.95,
bi02_kaka1,794.94,1546.20,23.24,
bi02_kaka2,548.70,1502.90,18.87,
bi02_keke,467.52,2214.23,15.75,
bi02_keke1,465.09,2338.86,19.30,
bi02_keke2,538.31,2291.05,17.00,
bi02_kiki,337.06,2603.90,19.90,
bi02_kiki1,348.17,2686.30,12.18,
bi02_kiki2,336.38,2570.48,9.29,
bi02_koko,616.89,990.95,12.99,
bi02_koko1,598.09,968.35,30.21,
bi02_koko2,475.01,886.99,11.69,
bi02_kuku,471.78,908.90,12.00,
bi02_kuku1,467.66,916.15,31.85,
bi02_kuku2,310.67,763.41,19.37,
bi02_paka,805.56,1633.67,5.58,
bi02_paka1,729.08,1474.70,6.47,
bi02_paka2,675.23,1625.12,5.44,
bi02_peke,497.07,2251.52,15.29,
bi02_peke1,459.46,2361.32,18.22,
bi02_peke2,481.66,2365.19,12.64,
bi02_piki,355.87,1696.97,23.75,
bi02_piki1,284.73,2664.96,12.68,
bi02_piki2,569.79,2681.20,18.62,
bi02_poko,580.33,918.97,16.03,
bi02_poko1,575.08,944.05,11.52,
bi02_poko2,574.09,1058.99,15.40,
bi02_puku,506.81,899.05,27.84,
bi02_puku1,461.39,864.82,5.58,
bi02_puku2,414.23,821.15,20.36,
bi02_taka,814.91,1546.38,7.56,
bi02_taka1,728.30,1535.63,10.67,
bi02_taka2,523.46,1448.02,18.06,
bi02_teke,526.87,2211.75,10.94,
bi02_teke1,464.18,2343.51,12.78,
bi02_teke2,428.16,1028.01,11.85,
bi02_tiki,645.10,2328.41,9.46,
bi02_tiki1,346.13,2748.99,15.45,
bi02_tiki2,515.64,1781.96,15.91,
bi02_toko,492.91,886.03,6.62,
bi02_toko1,553.01,964.00,9.50,
bi02_toko2,608.27,1002.85,14.79,
bi02_tuku,473.05,964.68,12.10,
bi02_tuku1,466.53,931.76,12.38,
bi02_tuku2,519.40,834.22,14.68,
